"","Longitude","Latitude","PM25","Date"
"35556",-118.5284,34.38344,10.7,"06/28/2022"
"35884",-118.130511,34.6697390008831,8.6,"06/28/2022"
"36205",-120.034203,36.953256,4.8,"06/28/2022"
"36529",-122.520004,37.97231,7.5,"06/28/2022"
"36852",-119.587094,37.748707,2.2,"06/28/2022"
"37175",-120.433671,37.281853,3.9,"06/28/2022"
"37499",-120.480456,37.30832,4.2,"06/28/2022"
"37987",-119.120278,37.962069,3.6,"06/28/2022"
"38309",-121.73333,36.4818700009023,7.2,"06/28/2022"
"38604",-121.126371,36.2092860008996,6.3,"06/28/2022"
"38777",-121.623271,36.6942610009043,6.2,"06/28/2022"
"38951",-121.623271,36.6942610009043,6,"06/28/2022"
"39273",-121.055608,39.2334770009245,2.7,"06/28/2022"
"39577",-120.184592,39.3278300009251,5.2,"06/28/2022"
"39880",-120.184592,39.3278300009251,2.1,"06/28/2022"
"40118",-117.93845,33.83062,10.7,"06/28/2022"
"40299",-117.93845,33.83062,9,"06/28/2022"
"40726",-121.09959,38.93568,2.6,"06/28/2022"
"41033",-120.953831711,39.100174496,5.2,"06/28/2022"
"41274",-121.26498,38.74643,6.3,"06/28/2022"
"41588",-120.148833333333,39.1660166666667,2.7,"06/28/2022"
"41823",-121.338353,38.867937000922,4.9,"06/28/2022"
"42182",-120.944376,39.9395670009288,1.4,"06/28/2022"
"42391",-121.227848,40.3096440009309,3.5,"06/28/2022"
"42502",-120.47069,39.81336,3.7,"06/28/2022"
"42785",-120.47069,39.81336,5.7,"06/28/2022"
"42848",-120.47069,39.81336,4.5,"06/28/2022"
"43105",-116.85841,33.92086,7.6,"06/28/2022"
"43434",-117.072202,33.5830180008699,7.6,"06/28/2022"
"43761",-116.1897,33.7196900008716,8.6,"06/28/2022"
"43793",-116.1897,33.7196900008716,9.5,"06/28/2022"
"43969",-116.830074,33.9447129,8.7,"06/28/2022"
"44021",-116.830074,33.9447129,7.3,"06/28/2022"
"44209",-116.54101,33.85275,7.4,"06/28/2022"
"44378",-117.41601,33.9995800008751,12,"06/28/2022"
"44585",-117.41601,33.9995800008751,12.4,"06/28/2022"
"44895",-117.4924,33.996360000875,11.9,"06/28/2022"
"44925",-117.4924,33.996360000875,12,"06/28/2022"
"45104",-117.4924,33.996360000875,13.3,"06/28/2022"
"45427",-117.33098,33.67649,5,"06/28/2022"
"45741",-121.368014,38.6137790009202,6,"06/28/2022"
"46095",-121.49311,38.56844,12.4,"06/28/2022"
"46276",-121.49311,38.56844,7.3,"06/28/2022"
"46459",-121.164457,38.683304,3.9,"06/28/2022"
"46773",-121.164457,38.683304,4.6,"06/28/2022"
"47092",-121.503795,38.593322,7.3,"06/28/2022"
"47412",-121.211131,38.494475,3.5,"06/28/2022"
"47733",-121.3621,36.8434250009057,5.8,"06/28/2022"
"48192",-117.61722,34.030833,15.5,"06/28/2022"
"48352",-117.61722,34.030833,24.3,"06/28/2022"
"48678",-117.32554,34.5109611108812,10.7,"06/28/2022"
"49001",-117.32554,34.5109611108812,9.7,"06/28/2022"
"49329",-117.62914,34.10374,12.4,"06/28/2022"
"49538",-117.49201,34.10002,12.3,"06/28/2022"
"49731",-116.86147,34.2646400008783,7.1,"06/28/2022"
"49937",-117.274063,34.1066780008763,12.2,"06/28/2022"
"49978",-117.059088,32.6312420008573,10.2,"06/28/2022"
"50154",-116.365,32.6509000008575,8.5,"06/28/2022"
"50429",-116.768293,32.8423180008601,6.9,"06/28/2022"
"50699",-117.396177,33.2170550008652,9,"06/28/2022"
"50992",-116.92135,32.5781600008565,22.1,"06/28/2022"
"51073",-117.123964,32.8457090008602,10.7,"06/28/2022"
"51104",-117.123964,32.8457090008602,10.7,"06/28/2022"
"51161",-117.08218,32.985442,12.4,"06/28/2022"
"51340",-116.944308,32.7895650008594,10.6,"06/28/2022"
"51531",-117.142665,32.7101770008584,9.9,"06/28/2022"
"51572",-117.142665,32.7101770008584,12.2,"06/28/2022"
"51771",-117.090229999878,33.3625928342781,13.8,"06/28/2022"
"51952",-122.399044,37.765946,6.2,"06/28/2022"
"52579",-121.247874,37.793392,3.3,"06/28/2022"
